iter	Passed	Remaining
0	4	401
1	7	381
2	11	382
3	15	365
4	18	354
5	22	346
6	25	338
7	28	331
8	32	324
9	35	322
10	39	317
11	43	319
12	47	317
13	51	317
14	56	319
15	61	320
16	66	322
17	71	326
18	76	326
19	82	330
20	90	338
21	95	338
22	99	333
23	102	325
24	106	318
25	109	311
26	113	305
27	116	299
28	119	293
29	123	287
30	126	281
31	129	276
32	134	272
33	138	269
34	143	265
35	147	262
36	152	260
37	157	256
38	162	253
39	166	250
40	171	247
41	173	239
42	178	236
43	183	233
44	187	229
45	191	225
46	195	220
47	199	215
48	202	210
49	205	205
50	208	200
51	213	196
52	216	192
53	220	187
54	222	182
55	226	178
56	230	173
57	234	170
58	239	166
59	244	162
60	249	159
61	254	155
62	258	151
63	263	148
64	268	144
65	273	141
66	278	137
67	283	133
68	288	129
69	292	125
70	297	121
71	300	116
72	304	112
73	308	108
74	312	104
75	315	99
76	321	96
77	324	91
78	328	87
79	331	82
80	335	78
81	338	74
82	341	70
83	344	65
84	348	61
85	352	57
86	356	53
87	360	49
88	364	45
89	368	40
90	371	36
91	374	32
92	377	28
93	380	24
94	383	20
95	387	16
96	390	12
97	393	8
98	396	4
99	399	0
