iter	Passed	Remaining
0	166	166780
1	172	86126
2	177	58944
3	182	45481
4	188	37484
5	192	31968
6	198	28102
7	203	25231
8	208	22986
9	214	21194
10	219	19706
11	224	18479
12	230	17464
13	235	16565
14	241	15840
15	246	15160
16	251	14551
17	256	13990
18	262	13527
19	267	13110
20	272	12697
21	277	12349
22	282	12010
23	287	11710
24	292	11420
25	297	11157
26	302	10892
27	307	10671
28	311	10443
29	316	10234
30	321	10048
31	325	9859
32	330	9676
33	335	9535
34	340	9380
35	344	9234
36	350	9126
37	354	8984
38	359	8869
39	365	8768
40	370	8660
41	374	8551
42	381	8493
43	386	8401
44	391	8309
45	397	8250
46	403	8177
47	408	8099
48	414	8039
49	418	7957
50	426	7935
51	431	7869
52	436	7794
53	441	7739
54	446	7672
55	451	7608
56	455	7542
57	460	7484
58	465	7421
59	469	7363
60	475	7317
61	480	7262
62	485	7218
63	490	7167
64	495	7125
65	500	7080
66	505	7042
67	509	6989
68	514	6938
69	517	6881
70	521	6826
71	525	6767
72	528	6710
73	531	6656
74	535	6601
75	538	6551
76	541	6492
77	545	6443
78	548	6398
79	551	6344
80	554	6294
81	558	6252
82	560	6192
83	564	6154
84	567	6106
85	570	6062
86	573	6022
87	577	5986
88	580	5945
89	583	5904
90	586	5862
91	591	5832
92	594	5798
93	597	5760
94	601	5725
95	604	5694
96	608	5660
97	610	5623
98	613	5586
99	618	5562
100	622	5542
101	627	5520
102	631	5499
103	636	5486
104	641	5466
105	646	5452
106	652	5444
107	657	5429
108	661	5411
109	667	5402
110	672	5383
111	676	5365
112	681	5349
113	685	5330
114	690	5314
115	695	5298
116	699	5276
117	703	5260
118	709	5249
119	713	5232
120	718	5220
121	722	5198
122	727	5186
123	731	5169
124	736	5153
125	741	5141
126	744	5119
127	749	5102
128	754	5093
129	758	5078
130	763	5064
131	768	5050
132	773	5041
133	777	5026
134	782	5016
135	788	5012
136	793	5000
137	799	4993
138	804	4984
139	809	4974
140	815	4966
141	818	4943
142	821	4925
143	826	4911
144	831	4900
145	836	4890
146	840	4875
147	845	4868
148	849	4851
149	853	4834
150	856	4818
151	860	4801
152	863	4782
153	867	4763
154	870	4743
155	873	4728
156	877	4711
157	880	4694
158	884	4677
159	890	4673
160	892	4649
161	895	4630
162	898	4616
163	902	4600
164	906	4586
165	909	4570
166	913	4554
167	916	4537
168	920	4524
169	923	4508
170	926	4492
171	930	4477
172	933	4461
173	936	4446
174	940	4431
175	943	4417
176	946	4403
177	950	4389
178	953	4375
179	957	4359
180	960	4344
181	963	4331
182	967	4319
183	970	4305
184	973	4290
185	977	4276
186	980	4263
187	983	4248
188	986	4234
189	990	4221
190	993	4209
191	997	4196
192	1000	4183
193	1003	4169
194	1006	4156
195	1010	4144
196	1013	4132
197	1016	4118
198	1019	4104
199	1023	4095
200	1027	4083
201	1030	4070
202	1033	4058
203	1036	4045
204	1040	4034
205	1043	4021
206	1046	4007
207	1049	3995
208	1052	3984
209	1056	3973
210	1059	3962
211	1062	3949
212	1065	3937
213	1069	3927
214	1072	3916
215	1075	3904
216	1078	3892
217	1081	3881
218	1085	3872
219	1088	3860
220	1092	3849
221	1095	3838
222	1098	3828
223	1102	3817
224	1105	3806
225	1108	3795
226	1111	3786
227	1115	3776
228	1118	3765
229	1121	3755
230	1124	3744
231	1128	3736
232	1132	3727
233	1135	3718
234	1139	3709
235	1143	3700
236	1146	3691
237	1150	3683
238	1153	3673
239	1158	3667
240	1161	3659
241	1166	3654
242	1169	3644
243	1176	3645
244	1179	3636
245	1183	3627
246	1187	3619
247	1191	3612
248	1195	3604
249	1198	3596
250	1202	3588
251	1206	3579
252	1209	3570
253	1213	3562
254	1216	3553
255	1220	3546
256	1223	3538
257	1227	3530
258	1231	3522
259	1236	3518
260	1240	3512
261	1243	3503
262	1248	3498
263	1252	3491
264	1255	3482
265	1259	3474
266	1262	3466
267	1267	3460
268	1270	3452
269	1273	3443
270	1277	3436
271	1281	3428
272	1284	3421
273	1288	3412
274	1291	3405
275	1296	3400
276	1299	3392
277	1303	3384
278	1306	3376
279	1310	3369
280	1313	3361
281	1317	3353
282	1321	3347
283	1325	3340
284	1328	3333
285	1331	3324
286	1335	3316
287	1339	3312
288	1343	3306
289	1347	3299
290	1351	3292
291	1355	3286
292	1359	3280
293	1362	3273
294	1366	3266
295	1370	3260
296	1374	3254
297	1378	3246
298	1382	3241
299	1386	3235
300	1390	3228
301	1393	3220
302	1397	3213
303	1401	3207
304	1405	3202
305	1408	3195
306	1412	3189
307	1416	3182
308	1420	3175
309	1423	3168
310	1427	3161
311	1430	3155
312	1434	3147
313	1437	3140
314	1440	3133
315	1445	3129
316	1449	3122
